seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	856026	856035	10	*	X00002	100130417	852953	854817	1865	-	1208	upstream	1208	LINC02593
chr1	856131	856140	10	*	X00003	100130417	852953	854817	1865	-	1313	upstream	1313	LINC02593
chr1	860687	860696	10	*	X00004	148398	860530	879961	19432	+	0	inside	156	SAMD11
chr1	901027	901041	15	*	X00016	84069	901877	910484	8608	+	835	upstream	835	PLEKHN1
chr1	936229	936238	10	*	X00036	57801	934342	935552	1211	-	676	upstream	676	HES4
chr1	1010204	1010213	10	*	X00042	401934	1007126	1009687	2562	-	516	upstream	516	RNF223
chr1	1010319	1010328	10	*	X00043	401934	1007126	1009687	2562	-	631	upstream	631	RNF223
chr1	1010338	1010350	13	*	X00044	401934	1007126	1009687	2562	-	650	upstream	650	RNF223
chr1	1053681	1053690	10	*	X00045	54991	1017198	1051736	34539	-	1944	upstream	1944	C1orf159
chr1	2459013	2459021	9	*	X00064	55229	2439975	2458035	18061	-	977	upstream	977	PANK4
chr1	2985301	2985309	9	*	X00108	440556	2976181	2984289	8109	-	1011	upstream	1011	PRDM16-DT
chr1	2985301	2985309	9	*	X00108	63976	2985742	3355185	369444	+	432	upstream	432	PRDM16
chr1	3567711	3567721	11	*	X00122	49856	3547331	3566671	19341	-	1039	upstream	1039	WRAP73
chr1	3567711	3567721	11	*	X00122	7161	3569129	3652765	83637	+	1407	upstream	1407	TP73
chr1	6322077	6322085	9	*	X00156	387509	6307406	6321035	13630	-	1041	upstream	1041	GPR153
chr1	9189135	9189143	9	*	X00192	80045	9164476	9189229	24754	-	0	inside	85	GPR157
chr1	9884726	9884734	9	*	X00212	22883	9789079	9884550	95472	-	175	upstream	175	CLSTN1
chr1	9884950	9884959	10	*	X00213	22883	9789079	9884550	95472	-	399	upstream	399	CLSTN1
chr1	12123551	12123559	9	*	X00239	943	12123434	12204264	80831	+	0	inside	116	TNFRSF8
chr1	13840006	13840014	9	*	X00243	126755	13801445	13840242	38798	-	0	inside	227	LRRC38
chr1	13842119	13842127	9	*	X00244	126755	13801445	13840242	38798	-	1876	upstream	1876	LRRC38
chr1	15480903	15480912	10	*	X00249	200197	15438311	15478960	40650	-	1942	upstream	1942	TMEM51-AS1
chr1	15480915	15480924	10	*	X00250	200197	15438311	15478960	40650	-	1954	upstream	1954	TMEM51-AS1
chr1	16400793	16400801	9	*	X00258	348487	16384264	16400127	15864	-	665	upstream	665	FAM131C
chr1	16400880	16400892	13	*	X00259	348487	16384264	16400127	15864	-	752	upstream	752	FAM131C
chr1	16400994	16401015	22	*	X00260	348487	16384264	16400127	15864	-	866	upstream	866	FAM131C
